name;description
Runway;Traum rupture of left ulnocarpal (palmar) ligament, sequela
ABS;Cocaine use, unspecified with intoxication, uncomplicated
Branding;Oth acc to oth private fix-wing arcrft inj occupant, init
UDP;Opioid related disorders
Brokerage;Poisoning by peripheral vasodilators, assault, init encntr
UG;Pingueculitis, unspecified eye
LVM;Neoplasm of uncertain behavior of left kidney
FSP;Dx and monitoring gen hosp/persnl-use devices assoc w incdt
FCC;Adverse effect of calcium-channel blockers, subs encntr
RF Engineering;Toxic effect of halogen deriv of aromatic hydrocrb, assault
RTL Verification;Sltr-haris Type II physeal fx lower end of l femur, sequela
Food Science;Burn of 3rd deg mu sites of right ankle and foot
Drywall;Exposure to other ionizing radiation, initial encounter
Banners;Ultralt/microlt/pwr-glider clsn injuring occupant, sequela
Google Earth;Laceration w fb of r mid finger w/o damage to nail, sequela
IAR;External constriction, right lower leg, initial encounter
PBASIC;Inj extensor musc/fasc/tend unsp finger at forearm level
NMT;Insect bite (nonvenomous) of right ring finger, subs encntr
CQB;Oth complication of vascular prosth dev/grft
National Accounts;Other sprain of unspecified elbow, initial encounter
Joint Ventures;Fx oth prt scapula, l shoulder, subs for fx w routn heal
EGL;Disp fx of fourth metatarsal bone, unspecified foot, sequela
Zoning;Other accident on other pedestrian conveyance, sequela
EU Competition Law;Gonococcal pneumonia
Project Bidding;Pathological fracture in other disease, unspecified ankle
BPA;Type 2 diab with diab mclr edema, resolved fol trtmt, l eye
Retirement Planning;Laceration of other part of colon, sequela
Observational Studies;Person on outside of sp off-rd mv injured nontraf, init
Situational Awareness;Exposure to flames in uncontrolled fire, not in bldg, init
Database Administration;Nondisplaced avulsion fracture of unspecified ischium
GSA Schedule;Acquired absence of leg below knee
KDB+;Other dislocation of right knee, sequela
Efficent;Nondisp fx of base of 5th MC bone, r hand, 7thK
Radio;Toxic effect of oth inorganic substances, assault
UE;Nondisp fx of nk of r rad, 7thM
Live Events;Corrosion of third degree of right upper arm, init encntr
PE;Adolescent X-linked adrenoleukodystrophy
RNC;Nondisp seg fx shaft of unsp tibia, 7thH
Sheet Metal;Wedge comprsn fx fourth thor vertebra, init for opn fx
Xdebug;Nondisp fx of nk of 1st MC bone, r hand, 7thG
Bioinformatics;Burn of third degree of buttock
CCIE R&ampS;Arthroscopic surgical procedure converted to open procedure
PMD;Unspecified injury of dorsal vein of right foot
SMS;Pnctr w/o foreign body of left thumb w damage to nail
SQL DB2;Mech compl of implnt elec nstim of spinal cord lead, subs
Digital Signage;Nondisp commnt fx shaft of l fibula, 7thG
Multimedia;Traumatic rupture of right ear drum, sequela
Budget Oversight;Cerebral infrc due to unsp occls or stenosis of carotid art
TDC3000;Brown-Sequard syndrome at T1, subs
HR Software;Struck by shark
Data Center;Displaced fracture of lateral condyle of left tibia, sequela
Teamwork;Poisoning by barbiturates, intentional self-harm
